address,incident_edges,betweenness_centrality
0xecf8f87f810ecf450940c9f60066b4a7a501d6a7,42,471743
0x586db3bec5369895c3b0288c0f2c71e0be7b3331,2,471652
0x778927c57b2f8cf67fed5914264fd979ee750d5d,2,471578
0x7e24fcd9d89e12e3c86defb68b5f94c3575b555d,8,471373
0x7a119215754705ba996b2f9b9c47bd5713b344d5,8,471016
0xd36317ad517782f9bdd13dd4f1a1fdf62cc63507,6,469874
0xaadf4c2b71fc34d6a2b6257587ceee6df149f296,9,467641
0x8dae9f26411413d9d7a6ba6e5595a5d4679d9cbd,3,467075
0xeca179159e46085113226a5f29cc1244a54f4f9c,4,465146
0x167a9333bf582556f35bd4d16a7e80e191aa6476,59,463788
0xbedc5ca75d8743ef823476a38a37bff488db37ef,12,457374
0x6389e5598a9d518370d8016fb215da83af7f42b8,4,456892
0x2eb084ff6f0768e8633967a8a71254dac4276b95,6,456114
0x7f40eb42626767fa5dbc5f82b92639795deea2c0,8,452860
0x48ae54ef3f557a76ff1ece98dbe1aac4e8e37ac8,42,447569
0xefef751bee6fd46df762d9aed389a6c73b8c796c,20,445283
0x232071e30e733baca59da6ea32ac7a490327a312,2,442309
0x9e4cabb60be95a06729486cccce5d98ff93b9197,7,441366
0x24777ee02904eafdfd39e42cec26e899df74fb37,10,440928
0xb3aa46db57c2f7a8d79ecc574564dca468485f62,8,438553
0x13dc57a190808e3bde97a625093d66212d101fc4,22,436653
0x56234c9fb36bc55f799d24ed3c0fedd96cd3cc5c,2,435878
0x9314428f721415e316a129294c596df706e9c645,18,435435
0xd66a69421a888a56cab58471f16a43748dac5915,4,433881
0xa5ec7c26539fff234e565745630516775beadbba,10,429798
0x27112847b357c9ecc657148cef08ceab6d90dae5,4,427662
0xc3d9c17d7f6988c0fe7ebe929c47efccbd92be13,32,426752
0x10cee443638acd491a5ae3651446fb2ff341b4f9,4,420727
0x860ec6f3386caca1eccb8611be05f8195824ec0a,12,416207
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,100,413684
0xdb6e52319a660a51edf8fefd595bc707ca5d5629,3,412680
0x8a7bb493f81835d649bbcb9b2dbca1277a9390b4,3,412680
0x5a2501370854ed02381ae4938c746e172c018b3e,3,412680
0xd6796023db8d61d1bc695869fcbeaea742042051,27,410099
0x06292fe76563f4f5d44b7f2ea06ddd7fe5aa05c1,4,409479
0xccef336d3d5bdd929a941b3445990b428a693abd,6,409390
0x0dbd759dfb2fc8b133bf0002d9f09aa22d825e4f,3,407508
0xb1988edb427e0ab893e74e7463a6ff291c54074c,2,406201
0x5f768e5185fcba56ec9fddce28ecc03114394b5f,2,406201
0x64ce5b4c842c3787439f3157860550c5d7a30284,2,406201
0xfe57d6c08df6afe61084adbdee069b143f738c89,2,406179
0xc4bd699f74a6352169c72b2c257c9af2efaad0e7,2,406178
0xbcbff02df532663a2ac94d7450862549bef82a25,2,406178
0xeed69a85b67914718d8d7b09e5bce7b6496d1b3b,2,406106
0x28527b3da0c6edf0465db008d9f9e2c6110d5dc2,2,406047
0xd2621e79876e12f27c14b20d09a8f9a9ff04f61c,20,405815
0xc63093c902c39a681af60aeacf48ebb165b886fe,2,405720
0x7b2130058f70c244505708b84e49822673078fe4,2,405526
0xd510f4735f223207e07b89d7c485d69337096f5a,12,402007
0x40ca09efdd080bb8d6d14f763ff5446f26b551ac,9,399499
0xbdf00991748c9e6f85a1ee4a3fba82dfd695dbc0,26,392389
0x908746ae089fcb7679734a4498ff450f5c8ad6be,6,390556
0xd2af63e4d645e52ba0ff200a691891f45a04aca1,8,389755
0x90ca05cc79b3015e917c6d0dcc0c733962b5973f,8,386353
0x8fbf0842bf0f04e9abd7487ad6faaf2181e7bd79,2,385096
0xff42ca4268b329167c94b5e63c48e11dc9892e7e,12,381710
0xbf2b26c21c6a1b248d9c857be756fa3bf261aff1,4,380111
0x8bccc9ba2e5706e24a36dda02ca2a846e39a7bbf,35,379321
0x560c464e9050aa22d420abe784beb73772610a99,6,378827
0xbdc6754f6bf6a26a7538b16fe5711f80ce5d972c,4,378451
0xb17a6c9952b53957c2c52f946a3af54a9c659385,2,376757
0x6bee1b3423348f2554b0c7d037be0bc9822acb3e,8,372558
0x23af6a877c827cb4f7470371fbce9045138089ec,19,371155
0x4bebf015d2afa1763062a289087fede63b126373,14,367306
0x7fceea5f272fc79139e485322263d8ed479f13e5,3,366504
0xe9b3ed771eabc26dac8e453232071198d2d4cd8b,15,362284
0x428331cb4a19ba2376dc0325c30acb1ee2e68f4d,10,362152
0x155f6860b4073e9116d69b528d27680414792f05,6,360050
0xd8fe2d3245333ab1d36acf44e72f93b457e99372,8,358648
0x19ae27e1b61445eb9f27821a5eb4b3e957319e7e,8,358454
0x2f94b35700ab622867cb336c317ec1a5c32a567b,6,353093
0x5b7edbecb77913fc4c2b1c0d88e75b29e150948f,9,353093
0x9a2c5944a8bd5fac302e1575f0ba52026f42e069,5,352830
0x52fc86a5e68ba9e15566160396e1ef99886749db,12,346495
0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,97,345294
0x7baf96ee63017cc63d7da8df51fb04d4c3a7ef7b,108,344312
0x7fdcddfedbde1af88b38504d415cd99e70ca6169,6,343079
0x8903861ef2a89f22502e416269f56bda2d8dcf2c,12,343049
0xc1af5bfbbbf357181c0e0dbd4fba03f075238187,22,342536
0xb9a96dcfedabc1f0cde31203641f3cc43671ecf0,2,341572
0x46d9ccaaf1aa1c349ecbae66435a58fe1e9d008b,8,341404
0xe0e67d17acbb1f19ca135ec9a3c792b09ec7869c,2,340858
0xbb88d4ddeda2ebdcd9c464a8a03ff767cf49ef72,2,340846
0xa5b1a2b2c3a0a2155db94286be10fda00adb981d,2,340833
0x27110c1c0cb44a17977d9268953813d5f3e4a688,2,340830
0xc3b5de653f2a34971bff17bbd2e80fcad0d83248,4,339738
0xe5f67831b130dea06495af4f853e34e955aa3282,6,339453
0xcd4b078e73fe589ac0dcd55a9f317b5fd3a07fd7,12,339053
0x2dbf5f9a96fbd5ba4ccd14f78b0e8ee25829c05c,2,336937
0xec424b64f1f5fb9bb9d4e81fec7f9e1b10bee09f,8,336933
0x3f405a70720660338fe0abb8fc069763088ab7e8,18,336065
0x4161b6fbf921672b2bc7ed305043c0a4d9efb3dc,5,335327
0x6d42bbff1848f1ecbb5e0231b194b8327cad3806,9,334558
0x2e29bc9aed6471cd3546f824530f403dc774717d,28,329900
0x4fad26b87545a08ef443a391c0c37ccffb5dee08,2,329198
0x6581e480f8b1de7cfa6b3201f3eb2e4737298f85,11,328846
0x02b9f143b649f6b727dea5fefbaac2c3f65e784c,3,328383
0xaa8ad06432513ced469581083cf64b8942bcf404,2,328171
0x746a7329cf50fafe1194f2e9196154666ff89363,2,328171
0x275fe03e4d907564c8ee68686d6344688f309849,12,326857
0x4846848cc70d1acd186b53bbc601237f0d44dd25,24,326753
0x7c451eb418e67d329c28ee2aad3bfe9bfef0e33a,9,326245
0x73d6e674bd2fabdc996dbe6b9c66a3f0ec8dc478,12,324429
0xe4443f04134a811abc9a6d4317c8161fc7e08e93,6,323960
0xb4861d56f597ccd77360df852be94c2267a4cc05,12,323542
0xd11f118b73996583a1ce59d674abff035135ccb1,2,322828
0x5e569e1ecd56fe30dd97ee233ec1675b60fb6680,104,322719
0xee765a7a8120d3f3859292a062c9629335d492e6,4,322056
0xb8f83c7d9939347489ee6dc0aac07b2ba8072fa3,6,320275
0xe4f5399d4dc29d153eeca9b45f2237c2b54de9e1,16,318334
0x00d03c21793f7a5774ddf894ed3ec5b2871767e5,14,315402
0x4334275bca3eea692973a3f2de1a783cb59148d8,133,315391
0xa1ba7dccf5bc64dddf65ac58bf517e2701264a45,7,314732
0x0f750b5a940a23cc5c04ce9072846d4906df4a57,2,314158
0xdddda01b27105822de3b4b9badacb243a9435c04,2,314151
0xd163aefa9a3d23c5a6e1faa910a9e77483e8422a,2,311890
0x29b6ef3dcf36aa051dd23894a6be037adecc64fb,2,311890
0x9bebf0368ea8f2b71dc5d3bbc51e4db2df85b638,2,311890
0x88c496b53f8d170159058c70c3fa4d72dfe16395,2,311890
0x98b58448851c394701186527ec354ce7a1b40864,2,311872
0xd1c27d262ae524aec2bdeb3a66b0a5677554a1ac,2,311872
0xd1384476bd339eb3fe510a34c34e34cc12efbb26,2,311858
0xa13215892e4eb7935d49b27f47638931a55a0082,2,309513
0x965de82cd3771b1c10ac5ce9236e029cd9112c07,11,308074
0x43a207eeb30359c80fef325f0f81c8a67671c0ad,4,307986
0xc4fa5d82694f5fb83d71876d304c8e678a314f50,2,307125
0x5d49551cc1fb9edd77b11987c89e37392bc36d77,14,306666
